"c","subword_frequency","0","13345704679051884329","0","12491137745023758426","23172","2810824558098790990","2","25836842424075642793","42793"
"o","subword_frequency","1","12491137745023758426","13345704679051884329","11241067680105480545","112839","3705923871607971710","6","37077910104181123256","23256"
"m","subword_frequency","2","11241067680105480545","12491137745023758426","10346296083901819438","105645","159652138576890415","7","34078501509031058334","58334"
"p","subword_frequency","3","10346296083901819438","11241067680105480545","14218615244020245283","22104","1270600867702533013","6","35805979008027545306","45306"
"an","subword_frequency","4","14218615244020245283","10346296083901819438","4432613347753158360","144385","6585901487472656577","3","28997524675675222706","22706"
"y","subword_frequency","5","4432613347753158360","14218615244020245283","5185934958591010695","80982","11796255512465231213","4","23837163550364414217","14217"
",","subword_frequency","6","5185934958591010695","4432613347753158360","17851984775423820008","138105","15694866473738398493","8","27470533081767989110","89110"
"ti","subword_frequency","7","17851984775423820008","5185934958591010695","13315852967295074547","129529","7604754756306071282","1","36353772701309905605","5605"
"c","subword_frequency","8","13315852967295074547","17851984775423820008","13391065527999563900","23172","2809137861162405268","9","44558903270718458369","58369"
"k","subword_frequency","9","13391065527999563900","13315852967295074547","16396746285500280756","118105","2873831609545315014","2","43103664780794919091","19091"
"er","subword_frequency","10","16396746285500280756","13391065527999563900","6420343329275338335","84104","9059985047124046047","7","36208155142775182326","82326"
",","subword_frequency","11","6420343329275338335","16396746285500280756","3465212659290377666","138105","14352652624348500677","4","26282302274065996767","96767"
"e","subword_frequency","12","3465212659290377666","6420343329275338335","11708402123795810570","54385","12547469692096466512","8","21593958112361526559","26559"
"x","subword_frequency","13","11708402123795810570","3465212659290377666","13307856668725154542","64652","4344812607053898341","5","28481471451811342903","42903"
"c","subword_frequency","14","13307856668725154542","11708402123795810570","6632198318816930536","23172","2781105366991822729","4","31648457111337895566","95566"
"ha","subword_frequency","15","6632198318816930536","13307856668725154542","12601079612324660257","143361","13996400950262172938","7","32541134599866744744","44744"
"n","subword_frequency","16","12601079612324660257","6632198318816930536","2412282761014731297","54699","3519420849279731305","1","21645560692156322223","22223"
"g","subword_frequency","17","2412282761014731297","12601079612324660257","9276864308276659985","98611","13784779426832905457","1","24290226681616051668","51668"
"e","subword_frequency","18","9276864308276659985","2412282761014731297","8225382931107167281","54385","2200416708353311875","6","19914530000398558655","58655"
",","subword_frequency","19","8225382931107167281","9276864308276659985","4243701315274415646","138105","17010403154822148267","6","21745948554658242878","42878"
"hq","subword_frequency","20","4243701315274415646","8225382931107167281","5487646270958681029","119601","11877081171079224012","8","17956730517340263577","63577"
"c","subword_frequency","21","5487646270958681029","4243701315274415646","1574729249180294268","23172","15140944219211626146","3","11306076835413390932","90932"
"it","subword_frequency","22","1574729249180294268","5487646270958681029","5361068965563493012","10684","10082985972089791011","9","12423444485702468885","68885"
"y","subword_frequency","23","5361068965563493012","1574729249180294268","13237692258496014708","80982","15299060435843334433","8","20173490473239801853","1853"
",","subword_frequency","24","13237692258496014708","5361068965563493012","12844717611791855212","138105","2991167784168089070","5","31443478835851362865","62865"
"so","subword_frequency","25","12844717611791855212","13237692258496014708","9006402018468554253","4571","3203997930364545108","9","35088811888756423724","23724"
"u","subword_frequency","26","9006402018468554253","12844717611791855212","8776368910958122172","5150","16341965816101758448","6","30627488541218531783","31783"
"r","subword_frequency","27","8776368910958122172","9006402018468554253","14437439785754037288","30714","16716399465020077221","3","32220210715180713569","13569"
"c","subword_frequency","28","14437439785754037288","8776368910958122172","14189612253362204795","23172","6227193262525235535","8","37403420950074364387","64387"
"e","subword_frequency","29","14189612253362204795","14437439785754037288","9189432258692162812","54385","6547346085661012969","2","37816484297808405016","5016"
"in","subword_frequency","30","9189432258692162812","14189612253362204795","7083002113606830915","127366","16262518367324914329","5","30462046625661198853","98853"
"f","subword_frequency","31","7083002113606830915","9189432258692162812","11643759558826181668","106548","18193585216756677780","6","27916193931125175536","75536"
"o","subword_frequency","32","11643759558826181668","7083002113606830915","17361062341081731729","112839","4585095540335635200","1","36087824013514744455","44455"
"s","subword_frequency","33","17361062341081731729","11643759558826181668","13280482419077918006","135347","7987586448786003393","8","42285304318985831266","31266"
"y","subword_frequency","34","13280482419077918006","17361062341081731729","15578947545995817210","80982","2772732878733903491","9","46220492306155467041","67041"
"s","subword_frequency","35","15578947545995817210","13280482419077918006","6853460759689532149","135347","5045425737269098410","6","35712890724763267214","67214"
"l","subword_frequency","36","6853460759689532149","15578947545995817210","5407102314482751198","87186","13919249338080252292","2","27839510620168100410","410"
"i","subword_frequency","37","5407102314482751198","6853460759689532149","936613043020321183","129732","15365889752204033017","5","13197176117192604379","4379"
"m","subword_frequency","38","936613043020321183","5407102314482751198","10885149685812960868","105645","10576982042354866897","8","17228865043316033098","33098"
"it","subword_frequency","39","10885149685812960868","936613043020321183","7985362032701202116","10684","664466001803583547","8","19807124761534483744","83744"
"ed","subword_frequency","40","7985362032701202116","10885149685812960868","2071936526259751111","94776","17358788092438330143","6","20942448244773913463","13463"
",","subword_frequency","41","2071936526259751111","7985362032701202116","16006838102603995730","138105","9437159920194880605","2","26064136661564948905","48905"
"in","subword_frequency","42","16006838102603995730","2071936526259751111","10137829424956359922","127366","4617543989652388919","4","28216604053820106318","6318"
"f","subword_frequency","43","10137829424956359922","16006838102603995730","14060095699163886553","106548","1335237709057946405","2","40204763226724242070","42070"
"y","subword_frequency","44","14060095699163886553","10137829424956359922","3945465455381268898","80982","6712623156055218284","9","28143390579501515273","15273"
",","subword_frequency","45","3945465455381268898","14060095699163886553","17605031699679257311","138105","12175026755601483064","7","35610592854224412852","12852"
"n","subword_frequency","46","17605031699679257311","3945465455381268898","7593054292931052947","54699","7667055896530837655","1","29143551447991579059","79059"
"s","subword_frequency","47","7593054292931052947","17605031699679257311","9852699908155938492","135347","17827652090969621187","6","35050785900766248659","48659"
"e","subword_frequency","48","9852699908155938492","7593054292931052947","17635427522016303675","54385","1624862561969362222","8","35081181723103294966","94966"
"/","subword_frequency","49","17635427522016303675","9852699908155938492","18399571813302052445","49688","7677201799509741504","3","45887699243474294645","94645"
"b","subword_frequency","50","18399571813302052445","17635427522016303675","4340033404062217915","30816","7020848680383498718","9","40375032739380574145","74145"
"s","subword_frequency","51","4340033404062217915","18399571813302052445","18270590146316978862","135347","11677161875624866283","2","41010195363681249055","49055"
"e","subword_frequency","52","18270590146316978862","4340033404062217915","4011563373400967597","54385","7185868511738759484","9","26622186923780164250","64250"
",","subword_frequency","53","4011563373400967597","18270590146316978862","3265407626800171713","138105","12221808532402193719","5","25547561146518118204","18204"
"be","subword_frequency","54","3265407626800171713","4011563373400967597","1926654703793283091","49506","12927150995781311552","6","9203625703994421785","21785"
